Locality,Title,Location,Rent_raw,Rent_inr,Deposit_raw,Sqft_raw,Sqft,Price_per_sqft,Parking,Furnishing,Available_from,Property_type,Detail_URL
Baner,"Office Space in Baner, Pune for Rent","SRN 84/1, Main, Baner Rd, la commercia","₹ 60,000 No Extra Maintenance",60000,₹ 2 Lacs,654 sqft,654,91.74,Parking,Unfurnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f9e8699764cd7019976af641123e1/detail
Baner,"Office Space in Baner, Pune for Rent","Samarth Colony, Yamaha Motor Showroom - Raya Motors","₹ 41,000 + ₹ 5,500 Maintenance",41000,₹ 2.5 Lacs,577 sqft,577,71.06,Parking,Semi Furnished,18-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fae8897e3577a0197e37ad3db0db5/detail
Baner,"Office Space in Solitaire Business Hub, Pune for Rent","Balewadi high street, balewadi high street","₹ 90,000 + ₹ 10,000 Maintenance",90000,₹ 4 Lacs,948 sqft,948,94.94,Parking,Unfurnished,29-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-solitaire-business-hub-pune/8a9f8a8499c382a70199c3e3ca5d25d0/detail
Baner,"Office Space in Baner, Pune for Rent","pashan hwy , Tata Motors Cars Showroom - Garve, Baner",₹ 1.3 Lacs No Extra Maintenance,130000,₹ 5 Lacs,395 sqft,395,93.19,Parking,Furnished,14-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f878797e960630197e98b20100fab/detail
Baner,"Office Space in Baner, Pune for Rent","Mohan Nagar, near Bitwise, Baner, Bitwise,","₹ 95,000 No Extra Maintenance",95000,₹ 5 Lacs,200 sqft,200,79.17,Parking,Furnished,06-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fa984980c09bb01980c70edcc1769/detail
Baner,"Office Space in Baner, Pune for Rent","Bypass Road, Bypass Road","₹ 80,000 + ₹ 10,000 Maintenance",80000,₹ 4.8 Lacs,948 sqft,948,84.39,Parking,Unfurnished,23-09-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f858b985b7bd901985b8dd9ff056b/detail
Baner,"Commercial Property in Baner, Pune for Rent","Near Kapil Akhila, Lane next to Westport","₹ 10,000 + ₹ 1,000 Maintenance",10000,"₹ 30,000",140 sqft,140,71.43,Parking,Furnished,26-09-2025,Commercial,https://www.nobroker.in/property/commercial/rent/other-business-in-baner-pune/8a9f8bc391ca02300191ca511f12039c/detail
Baner,"Office Space in Baner, Pune for Rent","Baner, Balewadi High Street","₹ 60,000 No Extra Maintenance",60000,₹ 3.6 Lacs,762 sqft,762,78.74,Parking,Unfurnished,12-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fb7839a33126e019a334c1a260c32/detail
Hinjawadi,"Office Space in Wipro Circle, Pune for Rent","Wipro Circle, wipro Circle","₹ 25,000 No Extra Maintenance",25000,"₹ 75,000",526 sqft,526,47.53,Parking,Semi Furnished,29-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-wipro-circle-pune/8a9f8b438caba059018cabd6069c1c28/detail
Hinjawadi,"Shop in Hinjawadi , Pune for Rent","Phase II, near Shell Petrol Pump, Above ICICI Bank (1st Floor)","₹ 40,000 No Extra Maintenance",40000,₹ 1.2 Lacs,504 sqft,504,79.37,Parking,Unfurnished,20-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hinjawadi--pune/8a9f878499c310510199c345d29e14a3/detail
